Övning (Svenska);Övning (English);Video-länk;Video-typ
Sittande hantelpress;Seated Dumbbell Press;https://www.youtube.com/shorts/k6tzKisR3NY?feature=share;
Sittande kabelrodd (brett grepp);Seated Cable Row (Wide Grip);https://www.youtube.com/shorts/vqPY3fDessY?feature=share;
Sittande kabelrodd (smalt grepp);Seated Cable Row (Close Grip);https://www.youtube.com/shorts/qD1WZ5pSuvk?feature=share;
Skivstångs bänkpress;;https://www.youtube.com/shorts/5NStATS0zrw?feature=share;
Skivstångs rodd;barbell row;https://www.youtube.com/shorts/phVtqawIgbk?feature=share;
Skivstångs good mornings;barbell good mornings;https://www.youtube.com/shorts/7cpldMZjLOs?feature=share;
Skivstångs lunges;Barbell Lunge;https://www.youtube.com/shorts/EWBiNhxDnmQ?feature=share;
Skivstångsquatt;barbell squat;https://www.youtube.com/shorts/dW3zj79xfrc?feature=share;
Skullcrusher hantlar;Dumbbell Skullcrusher;https://www.youtube.com/shorts/iuYB_fLp26Q?feature=share;
Skullcrusher skivstång;Barbell Skullcrusher;https://www.youtube.com/shorts/K3mFeNz4e3w?feature=share;
Skullcrushers;Skull Crusher;https://www.youtube.com/shorts/K3mFeNz4e3w?feature=share;shorts
Smal armhävning;Close-Grip Push-Up;https://www.youtube.com/shorts/GHJgsTIW_bQ?feature=share;
Steguppsteg;Step-Up;https://www.youtube.com/shorts/TG3xUe-UvCQ?feature=share;
Sumomarklyft;Sumo Deadlift;https://www.youtube.com/shorts/k_jHUVBU-T0?feature=share;
T-bar rodd;T-Bar Row;https://www.youtube.com/shorts/Cw0lBUyKBQM?feature=share;
Thruster;Thruster;https://www.youtube.com/shorts/xpLACw6SnXM?feature=share;
Triceps pushdown;Tricep Pushdown;https://www.youtube.com/watch?v=WjLJ7zIppXQ;shorts
Triceps pushdown kabel (rep);Cable Triceps Pushdown (Rope);https://www.youtube.com/shorts/u36jNfqh8_U?feature=share;
Triceps pushdown kabel (stång);Cable Triceps Pushdown (Bar);https://www.youtube.com/shorts/1FjkhpZsaxc?feature=share;
Tricepsdips;Tricep Dip;https://www.youtube.com/watch?v=jkTKsIME3Go;shorts
Tricepspress över huvudet;Overhead Dumbbell Triceps Extension;https://www.youtube.com/shorts/b_r_LW4HEcM?feature=share;
Tricepspress över huvudet kabel;Cable Overhead Triceps Extension (Rope);https://www.youtube.com/shorts/9Ark9S11uXw?feature=share;
Upprätt rodd;Upright Row;https://www.youtube.com/shorts/AWsGWt-VMl8?feature=share;
Utfall;Lunges;https://www.youtube.com/watch?v=f7Aw2yiqmVs;
Utfallssteg;Lunge;https://www.youtube.com/watch?v=f7Aw2yiqmVs;shorts
Utfallssteg gående;Walking Lunge;https://www.youtube.com/shorts/2ea3_b9rFdM?feature=share;
Utfallssteg stationära;Stationary Lunge;https://www.youtube.com/shorts/38xlLGfguz4?feature=share;
Vadpress;Calf Raise;https://www.youtube.com/watch?v=a-x_NR-ibos;shorts
Vadpress i benpress;Calf Press on Leg Press;https://www.youtube.com/shorts/1cvpm--Y-4I?feature=share;
Vadpress sittande;Seated Calf Raise;https://www.youtube.com/shorts/ZJG4AmRMW8M?feature=share;
Vadpress stående;Standing Calf Raise;https://www.youtube.com/shorts/ZJG4AmRMW8M?feature=share;
